,country_name,Final_positional_ranking,goal,shotsPerGame,yellow_card,red_card,possession_percentage,passSuccess_percentage,shotOnTargetPG,dribbleWonPG,foulGivenPG,shotsConcededPG,tacklePG,interceptionPG,foulsPG,offsideGivenPG,clearanceTotal,duelAerialTotal,duelAerialWon,duelAerialLost,stat-value,assistCross,assistCorner,assistThroughball,assistFreekick,assistOther,assist,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,keyPassLong,keyPassShort,left_side_percent,middle_side_percent,right_side_percent,own_third_percent,middle_third_percent,opposition_third_percent,shot_left_side_percent,shot_middle_side_percent,shot_right_side_percent
19,Peru,21,2,10.3,5,0,49.9,81.0,3.7,8.0,13.0,12.0,20.3,9.3,12.3,2.3,21.7,39.7,15.0,24.7,6.67,0.0,0.0,0.0,0.0,0.3,0.3,32.3,33.0,329.7,51.7,1.0,8.0,41,23,36,31,46,23,19,58,23
20,Poland,26,2,10.3,3,0,50.4,81.1,2.7,5.0,11.3,10.3,16.0,11.0,10.3,1.3,20.3,45.0,23.3,21.7,6.53,0.0,0.0,0.0,0.7,0.0,0.7,36.3,26.7,354.3,64.3,3.0,4.3,36,23,41,24,51,25,6,90,3
21,Portugal,14,6,13.3,7,0,52.9,82.8,3.5,10.8,14.8,10.0,16.8,6.8,13.8,1.0,16.0,40.0,21.8,18.3,6.7,0.5,0.0,0.0,0.0,0.5,1.0,39.0,27.3,358.5,55.3,1.0,8.8,42,22,36,26,46,27,23,55,23
22,Russia,7,11,9.6,6,1,39.5,71.0,3.4,7.4,11.2,15.2,19.0,14.0,19.0,1.4,24.2,49.2,28.8,20.4,6.75,0.4,0.0,0.0,0.2,0.8,1.4,24.4,33.6,213.4,59.2,1.0,5.4,36,22,43,27,47,27,16,64,21
23,Saudi Arabia,29,2,12.3,1,0,57.0,86.2,3.3,9.7,15.0,11.3,18.3,8.0,10.0,1.3,16.7,28.0,10.0,18.0,6.36,0.0,0.0,0.0,0.0,0.3,0.3,39.3,31.3,465.3,49.7,1.7,7.0,35,23,42,25,51,25,22,51,27
24,Senegal,17,4,10.0,6,0,43.7,75.8,4.0,8.7,10.0,7.3,13.0,11.3,15.0,3.0,17.0,41.0,21.7,19.3,6.56,0.0,0.0,0.0,0.0,0.3,0.3,25.0,39.3,228.0,41.3,2.0,5.0,36,23,41,24,48,29,13,61,26
25,Serbia,18,2,11.0,9,0,44.2,78.0,2.7,9.0,12.7,14.7,22.7,7.3,15.0,1.7,19.7,42.7,25.0,17.7,6.7,0.3,0.0,0.0,0.0,0.0,0.3,30.0,26.0,274.0,59.7,3.0,6.3,37,29,34,25,46,30,12,73,15
26,South Korea,20,3,11.3,10,0,40.6,77.2,3.7,11.7,11.0,18.7,14.7,13.0,21.0,0.0,29.3,31.0,13.0,18.0,6.76,0.0,0.0,0.0,0.0,0.7,0.7,23.0,33.7,221.7,38.7,1.7,6.7,31,26,43,34,41,25,12,62,26
27,Spain,12,7,18.0,2,0,69.2,91.0,6.3,14.5,14.8,7.3,13.3,7.5,8.5,1.5,10.0,31.0,13.0,18.0,6.71,0.3,0.0,0.0,0.0,0.5,0.8,33.8,16.5,679.0,53.5,2.5,8.5,47,24,30,19,46,35,12,73,15
28,Sweden,8,6,11.0,8,0,41.3,71.9,4.0,6.8,12.8,14.6,13.2,10.4,13.0,1.2,31.8,45.0,22.2,22.8,6.8,0.0,0.0,0.2,0.0,0.4,0.6,22.6,34.6,201.0,52.6,2.0,6.2,35,29,36,32,44,24,16,75,9
29,Switzerland,11,5,14.3,9,1,56.3,84.8,3.5,8.5,13.0,15.0,18.8,10.8,13.5,1.0,13.8,31.0,13.8,17.3,6.64,0.5,0.3,0.0,0.0,0.5,1.0,28.8,27.8,419.0,52.3,1.5,7.8,40,25,36,29,43,27,19,61,19
30,Tunisia,28,5,12.0,4,0,51.3,82.2,4.0,9.7,11.7,16.7,16.7,10.3,15.3,2.0,11.3,27.0,12.3,14.7,6.56,0.3,0.0,0.0,0.3,1.0,1.3,31.0,30.7,359.3,53.7,2.0,7.7,36,22,42,29,47,23,17,61,22
31,Uruguay,6,7,12.0,3,0,47.7,79.6,4.2,7.8,13.8,10.0,18.0,15.8,12.6,0.4,17.4,38.4,17.8,20.6,6.83,0.6,0.2,0.0,0.2,0.2,0.8,29.6,28.4,315.2,59.8,1.8,6.2,32,27,40,29,46,25,15,64,21
