,Country,AvgTemperature,TemperatureDifference
0,Argentina,9.730418943533689,-8.818761384335165
1,Australia,11.830601092896199,-6.718579234972655
2,Belgium,19.479052823315108,0.9298724954462543
3,Brazil,19.686095931997585,1.1369156041287312
4,Colombia,13.899817850637517,-4.649362477231337
5,Costa Rica,22.836976320582874,4.28779599271402
6,Croatia,22.60928961748635,4.060109289617497
7,Denmark,18.75318761384335,0.20400728597449813
8,Egypt,30.083788706739533,11.53460837887068
9,France,13.9075591985428,-4.641621129326053
10,Germany,18.722222222222225,0.17304189435337136
11,Iceland,9.663934426229504,-8.88524590163935
12,Japan,23.262598664238002,4.713418336369148
13,Mexico,20.54068002428658,1.9914996964177263
14,Morocco,20.10837887067396,1.559198542805106
15,Nigeria,28.053278688524607,9.504098360655753
16,Panama,26.645719489981776,8.096539162112922
17,Poland,20.906193078324225,2.3570127504553717
18,Portugal,19.738615664845163,1.1894353369763095
19,Russia,18.549180327868854,0.0
20,Saudi Arabia,37.09426229508199,18.545081967213136
21,Senegal,26.004553734061922,7.455373406193068
22,South Korea,24.82604735883424,6.276867030965388
23,Spain,22.928051001821494,4.37887067395264
24,Sweden,19.31511839708561,0.7659380692167552
25,Switzerland,20.065877352762595,1.516697024893741
26,Tunisia,26.534608378870654,7.985428051001801
27,England,18.157559198542803,-0.391621129326051
28,Uruguay,10.268670309653913,-8.28051001821494
29,Peru,19.97625,1.4270696721311467
30,Iran,20.541,1.9918196721311467
31,Serbia,12.843625,-5.705555327868854
